Wood Width,Wood Thickness,Iron Width,Iron Thickness,Edge Distance,Bolt Diameter,Bolt Number,Bolt Type,Load Ratio,Weight,Fire Resistance Time,Load carrying capacity
320.8552479,200.2216325,161.5495987,6,110.3751134,19.53111574,7.817859032,1,10,-150.0406647,25.35648098,-261989.0017
320.1198335,200.2216325,161.5495987,6,107.0203127,19.99448046,7.554352799,1,10,-150.0406647,25.41772194,-263310.3917
320.1198335,200.2216325,161.5495987,6,107.5757812,19.99448046,7.554352799,1,10,-150.0406647,25.41772194,-263310.3917
320.1198335,200.2216325,161.5495987,6,108.5972805,19.99448046,7.554352799,1,10,-150.0406647,25.41772194,-263310.3917
320.1198335,200.2216325,173.9755198,6,110.3145906,19.53111574,7.877970662,1,10,-150.0406647,25.55860438,-264003.4389
320.1198335,200.2216325,173.9755198,6,110.3751134,19.53111574,7.877970662,1,10,-150.0406647,25.55860438,-264003.4389
320.1198335,200.2216325,173.9755198,6,110.3751134,19.53111574,7.928430095,1,10,-150.0406647,25.60773543,-265694.4154
320.1450091,200.2216325,171.2460885,6.070407964,105.9468908,19.54279317,7.946632681,1,10,-150.0406647,25.62689876,-266571.7343
320.8552479,200.2216325,161.5495987,6.070407964,109.8814549,19.99800538,7.734919661,1,10,-150.0406647,25.66876481,-269683.75
320.1198335,200.2216325,161.5495987,6,105.1548819,19.86786181,7.923858916,1,10,-150.0406647,25.69269033,-273265.4173
320.1198335,200.2216325,161.5495987,6,108.5972805,19.99448046,7.877970662,1,10,-150.0406647,25.74794873,-274590.239
320.1198335,200.2216325,161.5495987,6,105.1548819,19.99448046,7.946632681,1,10,-150.0406647,25.81801297,-276983.4848
320.1198335,200.2216325,161.5495987,6,99.51707812,6.991596276,8,1,10,-149.9212494,18.70725877,-45358.74574
320.1198335,200.2216325,161.5495987,6,101.5889863,19.99448046,6.692100546,1,10,-149.8652802,24.53786075,-233256.1985
320.1198335,200.2216325,161.5495987,6.070407964,103.9618953,19.53111574,7.554352799,1,10,-149.8652802,25.09314543,-253158.4849
320.8552479,200.2216325,171.2460885,6.070407964,109.8814549,20,8,1,10,-149.8079681,26.08229823,-278972.575
320.6552133,200.2216325,161.5495987,6.276485998,107.5757812,19.40016173,8,1,10,-149.7932281,25.53253761,-265081.3914
320.1198335,200.2216325,161.5495987,6,108.5972805,19.66369019,8,1,10,-149.7932281,25.60459344,-271153.6821
320.8552479,200.2216325,161.5495987,6,105.1548819,19.99448046,8,1,10,-149.7932281,25.90780917,-278843.6269
320.1198335,197.519808,167.3618701,6,124.704232,12.12800323,5.352649233,1,10,-149.7670746,19.56808318,-79503.69582
320.8552479,200.2216325,161.5495987,6.070407964,124.6670415,15.93064986,5.873189115,1,10,-149.4318085,21.57691645,-139407.3445
320.1198335,199.7875873,170.0549923,6.09136003,113.453319,20,5.688910508,1,10,-149.3671722,23.63270658,-198381.2516
320.1198335,197.519808,173.9755198,6,108.5972805,20,5.942946416,1,10,-149.3671722,23.66744207,-207239.8831
320.4316654,197.4133928,176.3173559,6.022257766,108.5972805,19.53111574,4.594217728,1,10,-149.3524323,22.14189116,-153959.6085
320.1198335,198.6589627,173.9755198,6,110.3751134,19.53111574,4.713897862,1,10,-149.3524323,22.322477,-157970.2819
320.8552479,197.4133928,176.3173559,6,108.5972805,19.94569932,4.703800416,1,10,-149.3524323,22.45130468,-163283.5525
320.1198335,198.6589627,173.9755198,6,110.3751134,19.53111574,5.084662939,1,10,-149.3524323,22.68070546,-170395.2146
320.1198335,198.6589627,167.3618701,6.070407964,109.8814549,19.99448046,5.122938053,1,10,-149.3524323,22.8892805,-178562.3284
320.1198335,198.3987146,172.1698201,6,109.8814549,19.3053084,5.773504822,1,10,-149.3524323,23.16498542,-189737.2899
320.1198335,198.3987146,172.1698201,6,109.8814549,19.53111574,5.773504822,1,10,-149.3524323,23.29306007,-193479.4115
320.1198335,198.6589627,161.5495987,6.022257766,117.5056236,19.58474655,5.962760692,1,10,-149.3524323,23.39081112,-200743.4833
320.8552479,197.4133928,167.3618701,6.070407964,110.3751134,19.99448046,5.873189115,1,10,-149.3524323,23.5515141,-204712.6693
320.8552479,197.4133928,167.3618701,6.070407964,114.9221344,19.99448046,5.873189115,1,10,-149.3524323,23.5515141,-204712.6693
320.1198335,198.6589627,172.2969658,6.070407964,109.8814549,19.99448046,5.979763942,1,10,-149.3524323,23.82893217,-208427.3832
320.1198335,198.6589627,170.2701269,6.022257766,105.1548819,20,4.931708975,1,10,-149.2050018,22.72046808,-171976.444
320.1198335,198.6589627,161.5495987,6,108.5972805,6.233651625,7.641764237,1,10,-149.0611725,18.34115378,-35385.57233
320.8552479,197.247883,176.3173559,6,109.6819638,6.233651625,7.734919661,1,10,-149.0611725,18.48405368,-35816.93319
320.1198335,198.6589627,161.5495987,6,108.7648426,7.228588095,7.641764237,1,10,-149.0611725,18.60040062,-45948.30729
320.1198335,198.3987146,173.9286119,6.022257766,109.8814549,10.19130253,6.389663427,1,10,-149.0611725,19.43542406,-70149.27206
320.8552479,199.7875873,170.0549923,6.070407964,117.5056236,11.41782332,7.45307705,1,10,-149.0611725,20.33741321,-99708.29649
320.8552479,199.7875873,170.0549923,6.070407964,117.5056236,11.41782332,7.946632681,1,10,-149.0611725,20.50132461,-106311.1521
320.8552479,198.3987148,170.0549923,6.058766019,116.8563722,12.20383043,7.928430095,1,10,-149.0611725,20.73789212,-119039.3702
320.1198335,198.6589627,173.9755198,6,108.5972805,6.838531059,1.318232623,1,10,-149.0284271,17.92411311,-7188.12863
320.1198335,198.6589627,173.9755198,6,108.5972805,6.874445114,1.318232623,1,10,-149.0284271,17.92575746,-7254.822617
320.8552479,199.7875873,161.5495987,6,107.0828154,12.57286591,7.776648523,1,10,-148.9870758,20.84207396,-122933.3853
320.8552479,197.9334116,172.1698201,6.070407964,107.5757812,6.838531059,1.318232623,1,10,-148.9543304,17.90586155,-7188.12863
320.1198335,198.6589627,172.1698201,6.022257766,105.1548819,6.371503576,7.923858916,1,10,-148.8990326,18.5659656,-38137.19728
320.1198335,198.3987146,167.3618701,6.022257766,105.9468908,12.12800323,6.52989265,1,10,-148.8990326,20.09139143,-96989.46752
320.8552479,199.7875873,161.5495987,6.022257766,105.1548819,6.371503576,2.793802605,1,10,-148.8662872,18.00853026,-13446.45358
320.1198335,199.0623733,161.5495987,6,105.1548819,9.408308816,2.793802605,1,10,-148.8662872,18.24764543,-26676.77067
